,国内生产总值_本季值,国内生产总值_本季同比,国内生产总值_累计值,国内生产总值_累计同比,第一产业_本季值,第一产业_本季同比,第一产业_累计值,第一产业_累计同比,第三产业_本季值,第三产业_本季同比,第三产业_累计值,第三产业_累计同比,第二产业_本季值,第二产业_本季同比,第二产业_累计值,第二产业_累计同比
2021Q3,290964.0,9.8,823131.0,9.8,23029.0,4.3,51430.0,7.4,154150.0,7.9,450761.0,9.5,113786.0,13.7,320940.0,10.6
2021Q2,282857.0,13.6,532167.0,12.7,17069.0,7.6,28401.0,7.8,151256.0,11.7,296611.0,11.8,114531.0,17.2,207154.0,14.8
2021Q1,249310.0,21.2,249310.0,18.3,11332.0,11.3,11332.0,8.1,145355.0,18.2,145355.0,15.6,92623.0,27.7,92623.0,24.4
2020Q4,296297.8,7.0,1015986.2,2.3,29630.2,7.9,77754.1,3.0,152727.7,7.9,553976.8,2.1,113939.9,5.8,384255.3,2.6
2020Q3,264976.3,5.5,719688.4,0.7,22072.0,11.5,48123.9,2.3,142821.7,5.9,401249.1,0.4,100082.6,3.8,270315.4,0.9
2020Q2,248985.1,3.1,454712.1,-1.6,15866.8,9.9,26051.9,0.9,135418.9,3.3,258427.4,-1.6,97699.4,1.9,170232.8,-1.9
2020Q1,205727.0,-5.3,205727.0,-6.8,10185.1,16.2,10185.1,-3.2,123008.5,-3.8,123008.5,-5.2,72533.4,-10.0,72533.4,-9.6
2019Q4,276798.0,7.0,986515.2,6.1,27464.5,10.1,70473.6,3.1,141603.5,9.1,535371.0,6.9,107730.1,3.6,380670.6,5.7
2019Q3,251046.3,7.1,709717.2,6.2,19800.9,8.6,43009.1,2.9,134825.2,9.5,393767.5,7.0,96420.1,3.6,272940.5,5.6
2019Q2,241502.6,7.8,458670.9,6.3,14439.9,11.0,23208.2,3.0,131139.0,9.4,258942.3,7.0,95923.7,5.3,176520.4,5.8
2019Q1,217168.3,7.5,217168.3,6.4,8768.3,2.2,8768.3,2.7,127803.3,9.4,127803.3,7.0,80596.7,5.2,80596.7,6.1
2018Q4,258808.9,9.9,919281.1,6.6,24938.8,8.5,64745.2,3.5,129846.3,10.9,489700.8,7.6,104023.9,9.1,364835.2,5.8
2018Q3,234474.3,10.2,660472.2,6.7,18226.9,-0.2,39806.4,3.4,123134.8,12.0,359854.5,7.7,93112.5,10.1,260811.3,5.8
2018Q2,223962.2,10.9,425997.9,6.8,13003.8,2.8,21579.5,3.2,119857.9,12.0,236719.7,7.6,91100.6,10.7,167698.8,6.1
2018Q1,202035.7,11.1,202035.7,6.8,8575.7,4.5,8575.7,3.2,116861.8,12.0,116861.8,7.5,76598.2,10.5,76598.2,6.3
2017Q4,235428.6,11.3,832035.9,6.9,22992.9,5.8,62099.5,3.9,117067.7,12.2,438355.9,8.0,95368.0,11.5,331580.5,6.1
2017Q3,212789.3,11.4,596607.3,6.9,18255.8,4.1,39106.6,3.7,109959.5,12.1,321288.2,7.8,84574.1,12.2,236212.5,6.3
2017Q2,201950.3,11.3,383818.0,6.9,12644.9,0.7,20850.8,3.5,106982.4,12.1,211328.7,7.7,82322.9,12.1,151638.4,6.4
2017Q1,181867.7,12.0,181867.7,6.9,8205.9,-1.3,8205.9,3.0,104346.3,12.2,104346.3,7.7,69315.5,13.4,69315.5,6.4
2016Q4,211566.2,9.9,746395.1,6.7,21728.2,1.6,60139.2,3.3,104334.0,12.4,390828.1,7.7,85504.1,9.1,295427.8,6.3
2016Q3,191010.7,8.2,534828.9,6.7,17542.3,2.2,38411.0,3.5,98067.8,11.6,286494.1,7.5,75400.4,5.4,209923.7,6.3
2016Q2,181408.2,7.6,343818.2,6.7,12556.0,5.9,20868.7,3.0,95435.8,11.3,188426.3,7.5,73416.5,3.5,134523.3,6.2
2016Q1,162410.0,7.5,162410.0,6.7,8312.7,12.7,8312.7,2.9,92990.5,11.7,92990.5,7.5,61106.8,1.0,61106.8,6.0
2015Q4,192572.9,6.5,688858.2,6.9,21376.1,4.2,57774.6,3.9,92840.6,12.4,349744.7,8.2,78356.2,0.8,281338.9,6.2
2015Q3,176597.7,6.7,496285.3,6.9,17173.0,1.9,36398.5,3.8,87897.9,13.2,256904.1,8.2,71526.8,0.8,202982.7,6.2
2015Q2,168549.7,7.7,319687.6,7.0,11852.3,6.7,19225.5,3.5,85747.4,12.9,169006.2,8.1,70950.0,2.1,131455.9,6.3
2015Q1,151137.9,7.4,151137.9,7.0,7373.2,3.3,7373.2,3.1,83258.8,11.8,83258.8,7.8,60505.9,2.3,60505.9,6.4
2014Q4,180828.9,7.8,643563.1,7.3,20522.0,3.3,55626.3,4.1,82581.0,12.1,310654.0,7.8,77725.9,4.7,277282.8,7.4
2014Q3,165484.7,8.7,462734.2,7.3,16854.9,6.0,35104.3,4.1,77658.7,11.6,228073.0,7.6,70971.1,6.3,199556.9,7.6
